Alder - Blue,Alnus glutinosa 'imperialis'
Alder - Common,Alnus glutinosa
Alder - Cut leaved,Alnus glutinosa Laciniata
Alder - Green,Alnus viridis
Alder - Grey,Alnus incana
Alder - Grey,Alnus incana aurea
Alder - Italian,Alnus cordata
Alder - Red,Alnus rubra
Alder - Spaeth,Alnus x spaethii
Almond,Prunus dulcis
Apple,Malus 'Everest'
Apple,Malus unidentified species
Apple,Malus domestica cultivar
Apple,Malus yunnanensis veitchii
Apple,Malus 'John Downie'
Apple,Malus 'Red Profusion'
Apple,Malus 'Golden Pearmain'
Apple - Chinese Crab,Malus hupehensis
Apple - Crab,Malus floribunda
Apple - Crab,Malus Tschonoskii
Apple - Crab,Malus adirondack
Apple - Crab,Malus 'Rudolph'
Apple - Crab,Malus sylvestris
Apple - Crab,Malus toringo Scarlet Brouwers
Apple - Crab,Malus x robusta 'Red Sentinel'
Apple - Crab,Malus 'Golden hornet'
Apple - Crab,Malus 'Mokum'
Apple - Purple crab,Malus x purpurea
Apple - Snakebark,Acer capillipes
Ash,Fraxinus excelsior
Ash,Fraxinus unidentified species
Ash - American,Fraxinus americana
Ash - Manna,Fraxinus ornus 'Meczek'
Ash - Manna,Fraxinus ornus
Ash - Narrow-leafed,Fraxinus oxycarpa 'Raywood'
Ash - One-leaved,Fraxinus excelsior 'Diversifol
Ash - Weeping,Fraxinus excelsior 'Pendula'
Ash - Weeping narrow-leafed,Fraxinus angustifolia 'pendula
Ash - Yellow,Fraxinus excelsior 'Jaspidea'
Aspen,Populus tremula
Bay tree,Laurus nobilis
Bee-bee Tree,Euodia hupehensis
Beech - Antarctic,Nothofagus antarctica
Beech - Common,Fagus sylvatica
Beech - Fastigiate,Fagus sylvatica 'Dawyck'
Beech - Purple,Fagus sylvatica 'Purpurea'
Birch,Betula unidentified species
Birch - Chinese Red,Betula albosinensis Fasc.
Birch - Cut-leaved,Betula pendula 'Dalecarlica'
"Birch - Downy, Hairy",Betula pubescens
Birch - Erman's,Betula ermanii
Birch - Himalayan,Betula jacquemontii
Birch - Monarch,Betula maximowicziana
Birch - Purple,Betula pendula purpurea
Birch - River,Betula nigra
Birch - Silver,Betula pendula
Birch - Silver,Betula utilis Edinburgh
Birch - Weeping silver,Betula pendula 'Tristis'
Birch - Young's weeping,Betula pendula 'Youngii'
Blackthorn,Prunus spinosa
Blue Gum,Eucalyptus unkown species
Box Elder - Variegated,Acer negundo 'Flamingo'
Buckeye - Yellow,Aesculus flava
Butterfly bush,Buddleia davidii
Cabbage Tree,Cordyline australis (palm)
Catalpa - Northern,Catalpa speciosa
Caucasian wingnut,Pterocarya Fraxinifolia
Cedar - Atlas,Cedrus atlantica
Cedar - Atlas,Cedrus atlantica 'Glauca'
Cedar - Deodar,Cedrus deodara
Cedar - Western Red,Thuja plicata
Cedar - White,Thuja occidentalis
Cedar of Lebanon,Cedrus libani
Cherry,Prunus 'Amanogawa'
Cherry,Prunus 'Accolade'
Cherry,Prunus unidentified species
Cherry,Prunus unidentified hybrid
Cherry,Prunus x hillieri 'Spire'
Cherry,Prunus 'Shirotae'
Cherry,Prunus 'Ichiyo'
Cherry,Prunus 'Pink Perfection'
Cherry,Prunus serrulata 'Autumn Glory
Cherry,Prunus 'Tai Haku'
Cherry,Prunus 'Pink Shell'
Cherry - Bird,Prunus padus
Cherry - Bird,Prunus padus 'Albertii'
Cherry - Cornelian,Cornus mas
Cherry - Double pint,Prunus kanzan
Cherry - Double white,Prunus avium 'Plena'
Cherry - Japanese,Prunus Serrulata
Cherry - Japanese,Prunus 'Umineko'
Cherry - Manchurian,Prunus maackii
Cherry - Manchurian,Prunus maackii 'Amber Queen'
Cherry - Mop Top,Prunus fruticosa 'Globosum'
Cherry - Ornamental,Prunus 'Pandora'
Cherry - Ornamental,Prunus x schmittii
Cherry - Ornamental,"Prunus ""sunset boulevard"""
Cherry - Rosebud,Prunus subhirtella 'Autumnalis
Cherry - Rosebud,Prunus subhirtella
Cherry - Sargent's,Prunus sargentii 'Rancho'
Cherry - Sargent's,Prunus sargentii
Cherry - Tibetan,Prunus serrula
Cherry - Weeping,Prunus subhirtella 'Pendula Pl
"Cherry - Wild, Gean",Prunus avium
Chinese windmill palm,Trachycarpus fortunei
Chokecherry,Prunus virginiana 'Canada Red'
Cotoneaster,Cotoneaster cornubia'
Cotoneaster,Cotoneaster frigidus
Cotoneaster,Cotoneaster unidentified speci
Cotoneaster - Willow-leaved,Cotoneaster salicifolius
Crabapple - Cut-leaf,Malus transitoria
Crape myrtle,Lagerstroemia indica Rosa Nova
Cypress,Cupressus unidentified species
Cypress,Chamaecyparis unidentified spe
Cypress - Bald,Taxodium distichum
Cypress - Lawson,Chamaecyparis lawsoniana
Cypress - Lawson,Chamaecyparis lawsoniana 'unid
Cypress - Leyland,x Cupresocyparis leylandii
Cypress - Leyland,x Cupresocyparis leylandii 'Ca
Cypress - Monterey,Cupressus macrocarpa
Dawn Redwood,Metasequoia glyptostroboides
Dogwood,Cornus Stella Pink
Dogwood,Cornus Eddie's white wonder
Dogwood - Chinese,Cornus kousa chinensis
Dogwood - Flowering,Cornus florida
Elder,Sambucus nigra
Elm,Ulmus lutece
Elm,Ulmus New Horizon
Elm,Ulmus rabona
Elm - Dodoens,Ulmus dodoens
Elm - Dutch,Ulmus x hollandica
Elm - Dutch,Ulmus 'Columella'
Elm - Dutch,Ulmus × hollandica Jacq Hilli
Elm - English,Ulmus procera
Elm - Lobel's,Ulmus lobel
Elm - Smoothleaf,Ulmus carpinifolia
Elm - Wych,Ulmus glabra
False Acacia,Robinia pseudoacacia
False Acacia - Frisia,Robinia pseudoacacia 'Frisia'
False Acacia - Upright,Robinia pseudoacacia 'Inermis'
Fig,Ficus carica
Fir - Douglas,Pseudotsuga menziesii
Fir - Noble,Abies noblis
Fir - Silver,Abies alba
Flannel Bush,Fremontodendron californicum
Foxglove Tree,Paulownia Tomentosa
Giant Sequoia,Sequoiadendron giganteum
Golden Indian bean tree,Catalpa bignonioides Aurea
Golden Rain Tree,Koelreuteria paniculata
Gum - Cider,Eucalyptus gunnii
Gum - Snow,Eucalyptus niphophila
Hackberry,Celtis occidentalis
Handkerchief Tree,Davidia involucrata
Hardy Rubber Tree,Eucommia ulmoides
Hawthorn,Crataegus unidentified species
Hawthorn,Crataegus monogyna 'Stricta'
Hawthorn,Crataegus x prunifolia
Hawthorn - Broad-leaved cockspur thorn,Crataegus prunifolia
Hawthorn - Cockspur,Crataegus x lavallei
Hawthorn - Cockspur,Crataegus x prunifolia Splend
Hawthorn - Cockspur thorn,Crataegus crus-galli
Hawthorn - Common,Crataegus monogyna
Hawthorn - Double pink,Crataegus oxyacantha 'Rosea Fl
Hawthorn - European,Crataegus oxyacantha
Hawthorn - Paul's Scarlet,Crataegus oxyacantha 'Pauls Sc
Hawthorn - Red,Crataegus laevigata 'Paul's Sc
Hazel - Common,Corylus avellana
Hazel - Corkscrew,Corylus avellana 'Contorta'
Hazel - Turkish,Corylus colurna
Hazel - Witch,Hamamelis intermedia Jelena
Holly,Ilex unidentified species
Holly,Ilex aquifolium
Holly,Ilex x altaclarensis
Holly,Ilex aquifolium 'unidentified
Honey Locust,Gleditsia triacanthos
Hornbeam,Carpinus betulus 'Fasticiata'
Hornbeam,Carpinus betulus
Hornbeam - Common,Carpinus betulus streetwise
Hornbeam - European,Carpinus bet. Fast. Frans F.
Hornbeam - Fastigiate European,Carpinus betulus 'Columnaris'
Hornbeam - Hop,Ostrya carpinifolia
Hornbeam - Japanese,Carpinus japonica
Horse Chestnut,Aesculus hippocastanum
Horse chestnut - Indian,Aesculus indica
Horse chestnut - Red,Aesculus x carnea
Horsechestnut - Baumann's,Aesculus hippocastanum Baumann
Horsechestnut - Red,Aesculus x carnea 'Briotii'
Indian Bean Tree,Catalpa bignonioides
Japanese Pagoda,Sophora japonica
Japanese zelkova,Zelkova serrata
Judas Tree,Cercis siliquastrum
June berry,Amelanchier arborea Robin Hill
June Berry,Amelanchier lamarckii
June berry,Amelanchier lamarckii 'Robin H
June berry - Upright,Amelanchier alnifolia obelisk
Juniper - Common,Juniperus communis
Juniper - Stinking,Juniperus foetidissima
Kapuka,Griselinia littoralis
Kentucky coffeetree,Gymnocladus dioicus
Kumquats,Fortunella japonica
Laburnum,Laburnum anagyroides
Laburnum,Laburnum x watereri 'Vossii'
Larch - European,Larix decidua
Laurel - Cherry,Prunus laurocerasus
Laurel - Portugese,Prunus lusitanica
Laurustinus,Viburnum tinus
Lilac,Syringa vulgaris
Lime,Tilia unidentified species
Lime - American,Tilia americana American sentr
Lime - American,Tilia americana
Lime - Caucasian,Tilia euchlora
Lime - Common,Tilia europaea
Lime - Henry's,Tilia henryana
Lime - Large-leaved,Tilia platyphyllos
Lime - Mongolian,Tilia mongolica
Lime - Silver,Tilia tomentosa
Lime - Small-leaved,Tilia cordata
Lime - Small-leaved,Tilia cordata 'Green spire'
Lime - Weeping silver,Tilia tomentosa 'Petiolaris'
London plane,Platanus x hispanica
Loquat,Eriobotrya japonica
Magnolia,Magnolia unidentified species
Magnolia,Magnolia stellata
Magnolia,Magnolia Susan
Magnolia,Magnolia Star Wars
Magnolia,Magnolia x soulangeana
Magnolia,Magnolia grandiflora
Magnolia,Magnolia × loebneri 'Merrill'
Magnolia,Magnolia spectrum
Magnolia,Magnolia wilsonii
Magnolia - Kobus,Magnolia kobus
Maidenhair,Ginkgo biloba globosa
Maidenhair tree,Ginkgo biloba
Maple,Acer unidentified Species
Maple,Malus 'Profusion'
Maple - Amur,Acer ginnala
Maple - Ashleaf,Acer negundo 'Variegatum'
Maple - Boxelder,Acer negundo
Maple - Canadian,Acer rubrum 'Scanlon'
Maple - Caucasian,Acer cappadocicum
Maple - Column Norway,Acer platanoides 'Columare'
Maple - Crimson King Norway,Acer platanoides 'Crimson King
Maple - Field,Acer campestre
Maple - Field,Acer campestre 'Nanum'
Maple - Field,Acer campestre 'Elsrijk'
Maple - Field,Acer campestre William Cadwell
Maple - Field,Acer campestre 'Streetwise'
Maple - Field,Acer campestre Lienco
Maple - Field,Acer campestre Queen Elizabeth
Maple - Freeman's,Acer x 'freemanii'
Maple - Globosum Norway,Acer platanoides 'Globosum'
Maple - Golden,Acer cappadocicum Aureum
Maple - Japanese,Acer palmatum
Maple - Japanese,Acer japonicum
Maple - Lebanese wild,Malus trilobata
Maple - Lobel's,Acer lobelii
Maple - Norway,Acer platanoides 'Unknown vari
Maple - Norway,Acer platanoides
Maple - Norway,"Acer platanoides ""Prin. Gold"""
Maple - Norway,Acer platanoides 'Emerald Que'
Maple - Norway,Acer platanoides 'Erectum'
Maple - Norway,Acer platanoides 'Schwedleri'
Maple - Norway,Acer platanoides 'Dissectum'
Maple - Norway,Acer platanoides Deborah
Maple - Norway 'Goldsworth Purple',Acer platanoides 'Goldsworth P
Maple - Olmstead Norway,Acer platanoides 'Olmsted'
Maple - Paperbark,Acer griseum
Maple - Purple Norway,Acer platanoides 'Purpureum'
Maple - Red,Acer rubrum 'Armstrong'
Maple - Red,Acer rubrum
Maple - Red,Acer rubrum red sunset
Maple - Silver,Acer saccharinum 'Lutescens'
Maple - Silver,Acer saccharinum
Maple - Silver veriegated Norway,Acer platanoides 'Drummondii'
Maple - Snakebark,Acer davidii
Maple - Sugar,Acer saccharum
Maple - Variegated Norway,Acer pseudoplatanus 'Variegatu
Medlar - Common,Mespilus germanica
Mimosa,Acacia dealbata
Monkey Puzzle,Araucaria araucana
Mountain-ash,Sorbus aucuparia 'Streetwise'
Mulberry - Black,Morus nigra
Mulberry - Paper,Broussonetia papyrifera
Mulberry - White,Morus alba
Oak - Chestnut-leaved,Quercus castaneifolia
"Oak - Common, Pedunculate",Quercus robur
Oak - Cork,Quercus suber
"Oak - Evergreen, Holm",Quercus ilex
Oak - Lucombe,Quercus hispanica 'Lucombeana'
Oak - Patagonian,Lophozonia obliqua
Oak - Pin,Quercus palustris
Oak - Pin,Quercus palustris Green Pillar
Oak - Red,Quercus rubra
Oak - Scarlet,Quercus coccinea
Oak - Sessile,Quercus petraea
Oak - Turkey,Quercus cerris
Oak - Two World,Quercus bimondorum
Oak - Upright Engish,Quercus robur 'Fastigiata'
Olive,Olea europaea
Paper birch,Betula papyrifera
Peanut Butter Tree,Clerodendrum trichotomum
Pear,Pyrus communis
Pear,Pyrus unidentified species
Pear - Chanticclere,Pyrus calleryana 'Chanticclere
Pear - Chanticleer,Pyrus calleryana Chant. Red.Sp
Pear - Weeping leaved,Pyrus salicifolia 'Pendula'
Pecan,Carya illinoinensis
Persian Ironwood,Parrotia persica vanessa
Persian Ironwood,Parrotia persica
Pine,Pinus unidentified species
Pine - Australian,Casuarina equisetifolia
Pine - Bhutan,Pinus wallichiana
Pine - Corsican,Pinus nigra
Pine - Scots,Pinus sylvestris
Pittosporum,Pittosporum  tenuifolium
Plane - London,Platanus x hispanica Tremonia
Plane - Oriental,Platanus orientalis
Plane - Oriental,Platanus orientalis Minaret
Plum,Prunus cerasifera
Plum,Prunus cerasifera 'Pissardii'
Plum - Common,Prunus domestica
Plum - Purple,Prunus cerasifera 'Nigra'
Plum - Victoria,Prunus domestica Victoria
Poplar - Balsam,Populus balsamifera
Poplar - Golden,Populus serotina 'Aurea'
Poplar - Lombardy,Populus nigra 'Italica'
Poplar - Silver,Populus alba
Poplar -Black,Populus nigra
Privet - Chinese,Ligustrum lucidum
Privet - Golden,Ligustrum ovalifolium
Privet - Variegate,Ligustrum lucidum 'Variegata'
Privet - Wild,Ligustrum vulgare
Red Robin,Photinia x fraseri 'Red Robin'
Redbud - Eastern,Cercis canadensis Forest Pansy
Redwood - Coastal,Sequoia sempervirens
Rhododendron - Common,Rhododendron ponticum
Rose of Sharon,Hibiscus resi
Rose of Sharon,Hibiscus syriacus
Rowan,Sorbus
Rowan,Sorbus aucuparia 'Sheerwater
Rowan,Sorbus torminalis
Rowan,Sorbus 'Sunshine'
Rowan,Sorbus x arnoldiana Schouten
Rowan,Sorbus 'Glowing Pink'
Rowan,Sorbus aucuparia Cardinal Roya
Rowan,Sorbus aucuparia Edulis
Rowan,Sorbus aucuparia 'Beissneri'
Rowan - 'Golden Wonder',Sorbus 'Golden Wonder'
Rowan - American,Sorbus americana
Rowan - Cut leaved,Sorbus aucuparia 'Asplenifolia
Rowan - Fastigiate,Sorbus aucuparia 'Fastigiata'
Rowan - Hubei,Sorbus hupehensis
Rowan - Japanese,Sorbus commixta
Rowan - Sargent's,Sorbus sargentiana
Rowan - Scarlet,Sorbus 'Embley'
Rowan - Vilmorin's,Sorbus vilmorinii
Rowan - Yellow berried,Sorbus 'Joseph Rock'
"Rowan, Mountain Ash",Sorbus aucuparia
Serviceberry,Amelanchier laevis
Serviceberry - Canadian,Amelanchier canadensis
Spindle tree,Euonymus europaeus
Spindle tree,Euonymus europ. 'Red Cascade'
Spruce,Picea unidentified species
Spruce - Colorado,Picea pungens
Spruce - Norway,Picea abies
Strawberry tree,Arbutus unedo
Stump,Stump Only
Sumach - Stag's horn,Rhus typhina
Sweet Chestnut,Castanea sativa
Sweet Chestnut - Variegated,Castanea sativa 'Albomarginata
Sweet Gum,Liquidambar styraciflua
Sweet Gum,Liquidambar sty Lane Roberts
Sweetgum,Liquidambar acalyina
Sweetgum,Liquidambar styraciflua Worple
Sweetgum - Gumball,Liquidambar styraciflua Gumbal
Sycamore,Acer pseudoplatanus
Sycamore,Acer pseudoplatanus 'Unidentif
Sycamore - Brillianissiumum,Acer pseudoplatanus 'Brilliant
Sycamore - Golden,Acer pseudoplatanus 'Worleei'
Sycamore - Purple Leaved,Acer pseudoplatanus 'Atropurpu
Sycamore - Purple leaved,Acer pseudoplatanus 'Purpureum
Tamarisk,Tamarix tetrandra
Tree of Heaven,Ailanthus altissima
Tulip - Upright,Liriodendron fastigiata
Tulip Tree,Liriodendron tulipifera
Tupelo,Nyssa sylvatica
Vacant Tree Pit,Vacant Tree Pit
Walnut,Juglans regia
Walnut - Black,Juglans nigra
Weeping silver birch,Betula pendula Obelisk
Whitebeam,Sorbus aria 'Wilfred fox'
Whitebeam,Sorbus aria
Whitebeam,Sorbus x thuringiaca 'Fastigia
Whitebeam,Sorbus x thuringiaca
Whitebeam,Sorbus aria 'Majestica'
Whitebeam,Sorbus aria 'Magnifica'
Whitebeam,Sorbus thibetica 'John Mitchel
Whitebeam,Sorbus x hybrida
Whitebeam,Sorbus aria 'Lutescens'
Whitebeam - Swedish,Sorbus intermedia 'Brouwers'
Whitebeam - Swedish,Sorbus intermedia
Whitebeam - Tibetan,Sorbus thibetica 'Mitchellii'
Wier maple,Acer saccharinum 'Laciniatum'
Willow,Salix unidentified species
Willow - Corkscrew,Salix matsudana 'Tortuosa'
Willow - Crack,Salix fragilis
Willow - Goat,Salix caprea
Willow - Kilmarnock,Salix caprea 'Pendula'
Willow - Scarlet,Salix alba chermesina
Willow - Weeping,Salix babylonica
Willow - Weeping,Salix x chrysocoma
Willow - White,Salix alba 'Tristis'
Willow - White,Salix alba
Yellowwood,Cladrastis kentukea
Yew,Taxus Unknown
Yew - common,Taxus baccata
Yew - Irish,Taxus baccata 'Fastigiata'
Zelkova - Caucasian,Zelkova carpinifolia
Zelkova - Japanese,Zelkova serrata Green Vase
